aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.317,0.539,0.267,0.715,1.0,0.919,0.178,0.29,0.713,0.0,0.52,0.515,0.81,0.976,0.5,0.511,0.798,0.1,0.54,0.0,0.0
0.56,0.462,0.8,0.407,0.769,0.752,0.5,0.28,0.533,0.0,0.001,0.93,0.164,0.468,0.0,0.858,0.921,0.8,0.18,0.889,0.0
0.939,0.555,0.419,0.429,0.308,0.664,0.178,0.18,0.367,0.0,0.005,0.95,0.009,0.799,0.7,0.486,0.464,0.6,0.26,0.444,0.0
0.135,0.834,0.324,0.771,0.769,0.662,0.644,0.385,0.527,0.0,0.001,0.735,0.047,0.741,0.6,0.654,0.011,0.2,0.74,0.667,0.0
0.057,0.482,0.448,0.233,0.692,0.303,0.811,0.725,0.433,0.0,0.57,0.95,0.364,0.765,0.9,0.156,0.054,0.3,0.78,1.0,0.0
0.76,0.873,0.305,0.725,0.538,0.355,0.8,0.085,0.393,0.0,0.008,0.765,0.574,0.543,0.8,0.707,0.163,0.5,0.54,0.778,0.0
0.604,0.13,0.048,0.296,0.077,0.242,0.044,0.01,0.313,0.0,0.005,0.705,0.322,0.642,0.7,0.281,0.438,0.1,0.94,1.0,0.0
0.958,0.415,0.219,0.646,0.538,0.636,0.644,0.625,0.34,0.0,0.69,0.555,0.807,0.474,0.1,0.598,0.354,0.3,0.44,0.333,0.0
0.863,0.823,0.229,0.215,0.308,0.854,0.578,0.915,0.513,0.0,0.67,0.445,0.605,0.406,0.1,0.099,0.538,1.0,0.32,0.778,0.0
0.533,0.616,0.571,0.198,0.231,0.574,0.389,0.99,0.66,0.0,0.0,0.495,0.531,0.631,0.1,0.684,0.562,0.6,0.36,0.889,0.0
0.741,0.661,0.19,0.198,0.385,0.339,0.978,0.74,0.607,0.0,0.74,0.37,0.974,0.573,0.7,0.057,0.374,0.5,0.26,0.333,0.0
0.279,0.943,0.657,0.156,0.846,0.093,0.4,0.03,0.687,0.0,0.007,0.71,0.105,0.526,0.2,0.282,0.144,0.9,0.84,0.222,0.0
0.139,0.466,0.819,0.923,0.692,0.611,0.411,0.82,0.927,0.0,0.005,0.78,0.8,0.481,0.3,0.232,0.084,0.3,0.42,0.667,0.0
0.057,0.722,0.667,0.518,0.692,0.069,0.633,0.375,0.833,0.0,0.002,0.415,0.817,0.433,0.5,0.173,0.541,0.5,0.58,0.444,0.0
0.535,0.48,0.905,0.494,0.615,0.485,0.911,0.405,0.847,0.0,0.53,0.285,0.885,0.522,0.5,0.431,0.029,0.7,0.84,0.111,0.0
0.968,0.596,0.2,0.261,0.231,0.599,0.744,0.835,0.013,0.0,0.007,0.14,0.734,0.648,0.9,0.024,0.777,0.6,0.42,0.333,0.0
0.859,0.724,0.371,0.192,0.846,0.052,0.556,0.22,0.447,0.0,0.59,0.21,0.812,0.604,0.6,0.71,0.452,0.5,0.1,0.222,1.0
0.691,0.462,0.752,0.992,0.846,0.533,0.133,0.24,0.987,0.0,0.001,0.585,0.186,0.519,0.4,0.796,0.885,0.6,0.76,1.0,0.0
0.198,0.984,0.305,0.761,0.077,0.568,0.911,0.88,0.22,0.0,0.0,0.63,0.259,0.553,0.8,0.591,0.398,0.5,0.24,0.889,0.0
0.529,0.975,0.6,0.628,0.923,0.154,0.3,0.865,0.04,0.0,0.003,0.32,0.79,0.717,0.4,0.127,0.986,0.6,0.1,0.111,0.0
0.861,0.36,0.276,0.231,0.077,0.707,0.778,0.49,0.527,0.0,0.72,0.575,0.094,0.539,0.2,0.639,0.379,0.5,0.58,0.778,0.0
0.828,0.019,0.8,0.82,0.077,0.211,0.378,0.02,0.407,0.0,0.001,0.445,0.497,0.41,0.4,0.753,0.497,0.4,0.64,0.667,0.0
0.099,0.654,0.781,0.727,0.846,0.857,0.633,0.69,0.087,0.0,0.002,0.585,0.983,0.495,0.1,0.053,0.139,0.8,0.74,0.111,0.0
0.408,0.504,0.638,0.545,0.923,0.757,0.367,0.08,0.673,0.0,0.76,0.84,0.92,0.362,0.9,0.501,0.665,0.7,0.64,0.0,0.0
0.41,0.31,0.333,0.599,0.077,0.112,0.811,0.745,0.967,0.0,0.009,0.795,0.166,0.464,0.1,0.074,0.691,0.4,0.78,0.0,0.0
0.764,0.706,0.971,0.905,0.615,0.495,0.578,0.48,0.967,0.0,0.007,0.195,0.056,0.689,0.5,0.279,0.812,0.6,0.66,0.333,0.0
0.871,0.56,0.438,0.356,0.231,0.816,0.944,0.495,0.58,0.0,0.002,0.85,0.283,0.666,0.1,0.916,0.67,0.3,0.84,0.778,0.0
0.81,0.586,0.629,0.186,0.538,0.187,0.011,0.595,0.173,0.0,0.72,0.17,0.912,0.549,0.4,0.56,0.258,0.4,0.14,0.667,0.0
0.879,0.516,0.181,0.271,0.231,0.464,0.211,0.14,0.773,0.0,0.85,0.025,0.582,0.522,0.5,0.148,0.183,0.9,0.46,0.889,0.0
0.206,0.712,0.943,0.468,0.462,0.918,0.222,0.375,0.227,0.0,0.98,0.52,0.865,0.679,0.9,0.802,0.084,0.6,0.36,0.889,0.0
0.679,0.004,0.238,0.421,0.231,0.335,0.011,0.465,0.96,0.0,0.53,0.995,0.686,0.478,1.0,0.443,0.343,0.3,0.48,0.556,0.0
0.339,0.633,0.086,0.277,0.385,0.426,0.1,0.385,0.82,0.0,0.79,0.56,0.568,0.512,0.8,0.08,0.239,0.2,0.08,0.444,0.0
0.075,0.846,0.048,0.364,0.692,0.351,0.267,0.155,0.733,0.0,0.005,0.36,0.196,0.638,0.8,0.399,0.916,0.2,0.24,1.0,0.0
0.337,0.145,0.048,0.158,0.846,0.916,0.678,0.975,0.86,0.0,0.002,0.44,0.889,0.423,0.4,0.736,0.844,0.9,0.12,0.556,0.0
0.596,0.788,0.819,0.785,0.692,0.752,1.0,0.4,0.42,0.0,0.007,0.56,0.546,0.495,0.1,0.355,0.28,0.3,0.6,0.556,0.0
0.653,0.117,0.657,0.68,1.0,0.263,0.889,0.94,0.893,0.0,0.003,0.58,0.174,0.648,0.9,0.61,0.156,0.8,0.54,0.667,0.0
0.747,0.325,0.514,0.403,0.231,0.365,0.533,0.21,0.8,0.0,0.008,0.28,0.396,0.597,0.6,0.644,0.491,0.6,0.2,0.222,1.0
0.309,0.774,0.095,0.864,0.923,0.937,0.167,0.48,0.94,0.0,0.99,0.65,0.621,0.515,0.1,0.646,0.593,0.1,0.06,0.333,1.0
0.81,0.254,0.038,0.854,0.077,0.423,0.5,0.455,0.84,0.0,0.74,0.8,0.79,0.427,0.4,0.556,0.195,0.1,0.32,0.889,0.0
0.889,0.515,0.467,0.13,0.923,0.177,0.333,0.395,0.247,0.0,0.004,0.59,0.885,0.567,0.6,0.194,0.673,0.9,0.3,0.333,0.0
0.079,0.711,0.571,0.134,0.538,0.565,0.567,0.005,0.733,0.0,0.89,0.71,0.881,0.491,0.6,0.608,0.17,0.0,0.82,0.889,0.0
0.832,0.028,0.171,0.53,0.077,0.392,0.844,0.42,0.027,0.0,0.002,0.615,0.108,0.652,0.3,0.265,0.15,0.7,0.66,0.667,0.0
0.315,0.484,0.552,0.077,0.462,0.642,0.211,0.65,0.633,0.0,1.0,0.665,0.954,0.785,0.8,0.096,0.479,0.0,0.98,1.0,0.0
0.349,0.922,0.371,0.765,0.846,0.763,0.544,0.125,0.273,0.0,0.72,0.79,0.869,0.662,0.5,0.647,0.448,0.3,0.98,0.444,0.0
0.04,0.045,0.705,0.727,0.308,0.318,0.433,0.63,0.087,0.0,0.93,0.825,0.245,0.406,0.0,0.328,0.02,0.7,0.54,0.111,0.0
0.952,0.904,0.505,0.496,0.692,0.017,0.511,0.78,0.767,0.0,0.001,0.22,0.656,0.481,0.4,0.94,0.645,0.4,0.96,0.333,0.0
0.826,0.561,0.429,0.65,0.923,0.531,0.989,0.095,0.193,0.0,0.0,0.495,0.644,0.471,0.4,0.556,0.508,0.6,0.6,0.778,0.0
0.149,0.83,0.019,0.794,0.615,0.526,0.933,0.2,0.473,0.0,0.008,0.11,0.194,0.717,0.9,0.791,0.14,0.9,0.9,0.222,0.0
0.543,0.589,0.39,0.275,0.769,0.25,0.256,0.685,0.927,0.0,0.002,0.54,0.243,0.898,0.2,0.807,0.32,0.1,0.72,0.444,0.0
0.307,0.42,0.895,0.344,0.538,0.651,0.778,0.15,0.093,0.0,0.57,0.22,0.327,0.529,0.0,0.647,0.721,0.6,0.2,0.778,0.0
0.826,0.716,0.8,0.808,0.615,0.203,0.956,0.645,0.087,0.0,0.008,0.845,0.505,0.717,0.6,0.638,0.78,0.8,0.5,0.111,0.0
0.543,0.579,0.286,0.225,0.154,0.745,0.456,0.445,0.467,0.0,0.008,0.61,0.94,0.56,0.2,0.711,0.942,0.5,0.3,0.556,0.0
0.473,0.805,0.448,0.314,0.077,0.353,0.1,0.58,0.88,0.0,0.005,0.94,0.608,0.399,0.6,0.835,0.698,0.0,0.66,0.778,0.0
0.388,0.732,0.038,0.49,0.615,0.457,0.767,0.54,0.787,0.0,0.55,0.525,0.163,0.41,0.6,0.936,0.611,0.8,0.58,0.667,0.0
0.02,0.564,0.333,0.085,1.0,0.565,0.822,0.075,0.127,0.0,0.76,0.18,0.242,0.478,0.8,0.06,0.457,0.3,0.76,0.889,0.0
0.182,0.913,0.848,0.285,0.385,0.944,0.722,0.615,0.56,0.0,0.005,0.315,0.564,0.809,0.1,0.457,0.299,0.5,0.52,0.556,0.0
0.602,0.007,0.438,0.628,0.846,0.234,0.389,0.845,0.88,0.0,0.99,0.315,0.89,0.444,0.3,0.531,0.299,0.7,0.5,0.0,0.0
0.992,0.647,0.619,0.698,0.231,0.21,0.711,0.18,0.427,0.0,0.69,0.025,0.101,0.577,0.1,0.275,0.181,0.7,0.64,0.556,0.0
0.562,0.977,0.371,0.785,0.231,0.823,0.456,0.045,0.473,0.0,0.84,0.575,0.48,0.614,0.4,0.318,0.277,0.8,0.38,0.111,0.0
0.63,0.008,0.724,0.907,0.077,0.121,0.922,0.15,0.827,0.0,0.51,0.49,0.559,0.44,0.3,0.392,0.165,0.4,0.04,0.556,0.0
0.941,0.468,0.448,0.595,0.462,0.844,0.456,0.025,0.067,0.0,0.0,0.825,0.586,0.628,0.6,0.641,0.436,0.7,0.46,1.0,0.0
0.251,0.818,0.924,0.581,0.538,0.73,0.256,0.635,0.14,0.0,0.67,0.46,0.303,0.427,1.0,0.446,0.563,0.8,0.5,1.0,0.0
0.081,0.237,0.371,0.553,0.077,0.698,0.833,0.72,0.387,0.0,0.006,0.33,0.038,0.741,0.3,0.061,0.411,0.5,0.3,0.222,0.0
0.717,0.609,0.533,0.34,0.077,0.601,0.678,0.08,0.153,0.0,0.007,0.465,0.398,0.672,0.4,0.032,0.942,0.5,0.12,0.556,0.0
0.012,0.502,0.733,0.822,0.692,0.782,0.533,0.565,0.953,0.0,0.63,0.76,0.363,0.587,0.5,0.527,0.7,0.5,0.16,0.556,0.0
0.828,0.99,0.876,0.943,0.077,0.187,0.878,0.91,0.293,0.0,0.001,0.11,0.761,0.631,0.7,0.523,0.193,0.3,0.4,0.667,0.0
0.418,0.506,0.314,0.702,0.538,0.259,0.533,0.375,0.06,0.0,0.84,0.915,0.593,0.706,0.1,0.249,0.451,0.3,0.84,0.556,0.0
0.812,0.803,0.181,0.889,0.308,0.619,0.678,0.665,0.12,0.0,0.81,0.205,0.837,0.724,1.0,0.35,0.161,0.0,0.88,0.778,0.0
0.996,0.875,0.057,0.221,0.308,0.699,0.811,0.435,0.193,0.0,0.58,0.975,0.442,0.72,0.7,0.024,0.941,0.6,0.52,0.222,0.0
0.911,0.48,0.752,0.559,0.615,0.225,0.856,0.18,0.247,0.0,0.001,0.165,0.504,0.522,0.5,0.436,0.625,0.5,0.66,0.667,0.0
0.558,0.002,0.448,0.314,0.846,0.667,0.6,0.975,0.373,0.0,0.94,0.03,0.844,0.696,0.9,0.487,0.539,0.1,0.12,0.111,1.0
0.311,0.976,0.171,0.48,0.231,0.475,0.511,0.005,0.853,0.0,0.77,0.72,0.109,0.795,0.2,0.445,0.284,0.2,0.5,0.778,0.0
0.99,0.094,0.314,0.069,0.692,0.488,0.622,0.375,0.84,0.0,0.87,0.485,0.029,0.481,0.6,0.95,0.126,0.7,0.32,0.889,0.0
0.048,0.024,0.514,0.152,0.923,0.902,0.378,0.18,0.76,0.0,0.002,0.325,0.064,0.72,1.0,0.037,0.343,0.2,0.36,0.667,0.0
0.297,0.794,0.019,0.441,0.154,0.509,0.589,0.995,0.54,0.0,0.001,0.49,0.239,0.621,0.3,0.926,0.564,1.0,0.14,0.222,0.0
0.691,0.149,0.876,0.399,0.231,0.48,0.533,0.055,0.973,0.0,0.75,0.025,0.391,0.413,0.2,0.948,0.89,0.7,0.92,0.778,0.0
0.408,0.382,0.114,0.866,0.769,0.514,0.656,0.525,0.207,0.0,0.002,0.85,0.402,0.642,0.1,0.005,0.506,0.4,0.4,0.667,0.0
0.543,0.032,0.267,0.196,0.692,0.12,0.056,0.4,0.24,0.0,0.64,0.435,0.389,0.416,1.0,0.622,0.323,0.3,0.12,0.889,0.0
0.495,0.141,0.486,0.494,0.385,0.112,0.267,0.66,0.553,0.0,0.6,0.36,0.397,0.655,0.0,0.06,0.86,0.6,0.6,0.0,0.0
0.109,0.639,0.81,0.312,0.846,0.66,0.211,0.34,0.907,0.0,0.74,0.63,0.088,0.454,0.7,0.43,0.277,0.1,0.82,0.889,0.0
0.818,0.807,0.714,0.739,0.231,0.327,0.167,0.41,0.067,0.0,0.79,0.22,0.736,0.631,0.5,0.108,0.946,0.4,0.66,0.333,0.0
0.707,0.925,0.362,0.374,0.538,0.862,0.611,0.66,0.393,0.0,0.008,0.61,0.825,0.686,0.9,0.316,0.697,0.4,0.06,0.556,0.0
0.453,0.184,0.171,0.184,0.692,0.492,0.6,0.02,0.4,0.0,0.009,0.08,0.129,0.488,0.2,0.871,0.929,0.5,0.2,0.889,0.0
0.598,0.954,0.848,0.696,0.231,0.341,0.178,0.715,0.127,0.0,0.92,0.485,0.547,0.485,0.1,0.651,0.63,0.7,0.56,0.111,0.0
0.729,0.929,0.952,0.781,0.462,0.826,0.178,0.375,0.133,0.0,0.69,0.52,0.278,0.471,0.6,0.815,0.788,0.3,0.5,0.889,0.0
0.598,0.197,0.571,0.32,0.923,0.438,0.689,0.665,0.387,0.0,0.002,0.84,0.92,0.829,0.8,0.651,0.285,0.5,0.56,0.556,0.0
0.527,0.674,0.648,0.802,0.846,0.287,0.144,0.715,0.893,0.0,0.76,0.345,0.379,0.42,0.2,0.345,0.325,0.0,0.74,0.333,0.0
0.198,0.088,0.276,0.334,0.615,0.55,0.311,0.885,0.04,0.0,0.75,0.49,0.067,0.751,0.9,0.639,0.094,0.4,0.2,0.556,0.0
0.337,0.165,0.39,0.217,0.538,0.402,0.911,0.965,0.3,0.0,0.63,0.62,0.212,0.659,0.7,0.856,0.738,0.5,0.9,0.222,0.0
0.592,0.933,0.162,0.435,0.308,0.517,0.189,0.425,0.807,0.0,0.002,0.515,0.707,0.601,0.1,0.267,0.479,0.7,0.4,0.333,0.0
0.422,0.105,0.819,0.401,0.231,0.431,0.4,0.1,0.427,0.0,0.007,0.66,0.24,0.672,0.4,0.648,0.727,0.6,0.68,0.444,0.0
0.168,0.647,0.181,0.381,0.385,0.747,0.578,0.975,0.773,0.0,0.94,0.235,0.213,0.502,0.8,0.729,0.578,0.3,0.76,0.111,0.0
0.281,0.546,0.638,0.265,0.308,0.644,0.478,0.05,0.72,0.0,0.99,0.01,0.937,0.72,0.3,0.926,0.219,0.4,0.26,0.111,0.0
0.929,0.857,0.048,0.899,0.846,0.945,0.544,0.86,0.327,0.0,0.6,0.465,0.403,0.522,0.9,0.255,0.889,0.2,0.92,0.778,0.0
0.305,0.679,0.714,0.251,0.769,0.851,0.611,0.2,0.727,0.0,0.65,0.7,0.181,0.447,0.5,0.492,0.761,0.8,0.96,0.444,0.0
0.224,0.589,0.067,0.247,0.462,0.806,0.622,0.87,0.44,0.0,0.008,0.455,0.047,0.751,0.8,0.414,0.324,0.2,0.36,0.556,0.0
0.824,0.234,0.829,0.644,0.846,0.547,0.833,0.645,0.553,0.0,0.001,0.76,0.684,0.526,0.5,0.242,0.717,0.8,0.98,1.0,0.0
0.675,0.688,0.629,0.188,0.769,0.209,0.778,0.54,0.467,0.0,0.87,0.53,0.499,0.618,0.8,0.579,0.443,0.2,0.94,0.778,0.0
0.426,0.254,0.933,0.455,0.923,0.555,0.544,0.1,0.767,0.0,0.61,0.665,0.408,0.662,0.0,0.383,0.399,0.3,0.48,0.222,0.0
0.97,0.381,0.01,0.324,0.231,0.801,0.967,0.46,0.8,0.0,0.002,0.05,0.965,0.706,0.2,0.395,0.573,0.1,0.4,0.444,0.0
0.15,0.676,0.114,0.955,0.077,0.05,0.022,0.525,0.453,0.0,0.001,0.795,0.405,0.628,0.4,0.646,0.788,0.2,0.78,0.333,0.0
0.105,0.974,0.229,0.818,0.462,0.471,0.922,0.13,0.107,0.0,0.91,0.88,0.355,0.495,0.9,0.992,0.403,0.5,0.12,1.0,0.0
0.048,0.92,0.467,0.765,0.769,0.234,0.144,0.465,0.567,0.0,0.001,0.835,0.808,0.57,1.0,0.266,0.1,0.7,0.14,0.0,1.0
0.954,0.792,0.943,0.445,0.769,0.295,0.333,0.43,0.893,0.0,0.97,0.43,0.12,0.423,0.2,0.301,0.612,0.4,0.42,0.111,0.0
0.446,0.776,0.924,0.48,0.923,0.539,0.578,0.305,0.233,0.0,0.86,0.66,0.437,0.73,0.0,0.261,0.979,0.3,0.8,0.111,0.0
0.032,0.118,0.705,0.202,0.538,0.891,0.233,0.2,0.527,0.0,0.63,0.61,0.415,0.618,0.9,0.264,0.583,0.7,0.56,0.111,0.0
0.45,0.396,0.867,0.966,0.308,0.885,0.3,0.75,0.153,0.0,0.007,0.83,0.819,0.546,0.3,0.311,0.623,0.7,0.94,0.778,0.0
0.422,0.842,0.724,0.526,0.923,0.15,0.578,0.2,0.393,0.0,0.61,0.2,0.941,0.642,1.0,0.863,0.006,0.3,0.1,0.222,1.0
0.58,0.008,0.133,0.739,0.308,0.741,0.322,0.09,0.607,0.0,0.78,0.87,0.359,0.689,0.5,0.721,0.477,0.7,0.06,0.667,0.0
0.16,0.887,0.181,0.789,0.385,0.923,0.411,0.875,0.127,0.0,0.9,0.225,0.268,0.614,0.7,0.977,0.85,0.2,0.08,0.667,0.0
0.281,0.608,0.019,0.915,1.0,0.033,0.5,0.99,0.187,0.0,0.89,0.55,0.493,0.491,0.7,0.469,0.233,0.2,0.32,0.333,0.0
0.448,0.621,0.495,0.437,0.385,0.502,0.122,0.9,0.927,0.0,0.005,0.875,0.918,0.689,0.2,0.385,0.019,0.5,0.66,0.889,0.0
0.152,0.953,0.295,0.221,0.538,0.912,0.067,0.915,0.407,0.0,0.55,0.94,0.777,0.597,0.5,0.805,0.906,0.4,0.98,0.667,0.0
0.044,0.254,0.438,0.528,0.692,0.842,0.267,0.525,0.033,0.0,0.005,0.5,0.505,0.683,0.7,0.258,0.238,0.6,0.56,0.556,0.0
0.426,0.565,0.533,0.308,0.462,0.126,0.711,0.06,0.32,0.0,0.93,0.71,0.056,0.666,0.9,0.681,0.406,0.5,0.06,0.444,0.0
0.224,0.04,0.819,0.808,0.308,0.281,0.978,0.245,0.767,0.0,0.7,0.405,0.491,0.638,0.4,0.054,0.841,0.7,0.84,0.778,0.0
0.818,0.174,0.952,0.516,0.077,0.659,0.933,0.885,0.627,0.0,0.006,0.63,0.023,0.662,0.5,0.319,0.564,0.7,0.04,0.556,0.0
0.901,0.809,0.257,0.561,0.077,0.433,0.956,0.23,0.22,0.0,0.92,0.125,0.319,0.495,0.8,0.363,0.936,0.6,0.6,0.667,0.0
0.416,0.052,0.105,0.555,0.692,0.561,0.156,0.245,0.927,0.0,0.75,0.32,0.293,0.686,0.9,0.422,0.79,0.9,0.46,0.667,0.0
0.317,0.0,0.905,0.275,0.308,0.046,0.944,0.29,0.227,0.0,0.53,0.915,0.253,0.485,0.7,0.116,0.817,0.7,0.54,0.556,0.0
0.091,0.485,0.533,0.285,0.615,0.085,0.889,0.97,0.873,0.0,0.69,0.97,0.819,0.563,0.4,0.009,0.224,0.6,0.84,0.111,0.0
0.202,0.801,0.686,0.587,0.846,0.267,0.111,0.88,0.493,0.0,0.002,0.24,0.585,0.696,0.4,0.264,0.013,0.7,0.18,0.111,1.0
0.851,0.965,0.048,0.275,0.154,0.121,0.411,0.385,0.307,0.0,0.001,0.295,0.702,0.614,0.5,0.565,0.091,0.1,0.84,0.333,0.0
0.81,0.936,0.276,0.233,0.154,0.664,0.878,0.57,0.553,0.0,0.004,0.325,0.313,0.826,0.5,0.3,0.119,0.1,0.44,1.0,0.0
0.246,0.499,0.095,0.5,0.385,0.247,0.222,0.54,0.347,0.0,0.74,0.335,0.242,0.666,0.0,0.809,0.615,0.4,0.9,0.222,0.0
0.848,0.383,0.2,0.806,0.538,0.535,0.978,0.665,0.387,0.0,0.009,0.11,0.881,0.546,0.3,0.921,0.687,0.7,0.68,0.111,0.0
0.461,0.834,0.333,0.808,0.308,0.432,0.456,0.785,0.833,0.0,0.007,0.97,0.585,0.468,1.0,0.019,0.702,0.3,0.28,0.333,0.0
0.2,0.17,0.876,0.269,0.769,0.044,0.2,0.09,0.247,0.0,0.008,0.405,0.589,0.724,0.7,0.896,0.347,0.3,0.86,0.333,0.0
0.422,0.77,0.171,0.538,0.308,0.479,0.656,0.67,0.333,0.0,0.86,0.435,0.717,0.498,0.7,0.687,0.707,0.1,0.74,0.556,0.0
0.921,0.795,0.905,0.239,0.154,0.106,0.589,0.57,0.387,0.0,0.84,0.27,0.776,0.758,0.4,0.14,0.961,0.9,0.74,0.778,0.0
0.931,0.619,0.571,0.919,0.615,0.638,0.144,0.52,0.06,0.0,0.83,0.755,0.898,0.58,0.6,0.477,0.412,0.7,0.7,0.556,0.0
0.56,0.016,0.048,0.526,0.769,0.147,0.367,0.97,0.993,0.0,0.001,0.57,0.526,0.679,0.7,0.89,0.318,0.4,1.0,1.0,0.0
0.796,0.249,0.248,0.545,0.615,0.475,0.478,0.61,0.22,0.0,0.001,0.755,0.095,0.706,0.0,0.716,0.327,1.0,0.76,0.222,0.0
0.101,0.751,0.19,0.073,0.615,0.401,0.756,0.21,0.473,0.0,0.85,0.395,0.043,0.799,0.5,0.675,0.128,0.5,0.54,0.111,0.0
0.198,0.559,0.181,0.474,0.538,0.047,0.722,0.91,0.373,0.0,0.95,0.77,0.874,0.515,0.4,0.286,0.008,0.7,0.64,0.556,0.0
0.604,0.371,0.724,0.81,0.231,0.303,0.433,0.645,0.567,0.0,0.65,0.605,0.893,0.693,0.9,0.604,0.334,0.4,0.84,0.889,0.0
0.38,0.002,0.629,0.802,0.615,0.713,0.411,0.555,0.407,0.0,0.73,0.89,0.627,0.7,0.8,0.111,0.479,0.6,0.66,0.778,0.0
0.721,0.659,0.629,0.642,0.308,0.704,0.867,0.96,0.193,0.0,0.007,0.96,0.72,0.532,0.7,0.294,0.159,0.5,0.22,0.667,0.0
0.808,0.853,0.8,0.206,0.846,0.244,0.356,0.55,0.147,0.0,0.005,0.96,0.926,0.512,0.9,0.038,0.26,0.6,0.22,0.556,0.0
0.22,0.68,0.048,0.638,0.308,0.051,0.4,0.965,0.153,0.0,0.006,0.975,0.731,0.474,0.1,0.41,0.935,0.9,0.98,0.889,0.0
0.251,0.681,0.419,0.846,0.538,0.514,0.089,0.475,0.973,0.0,0.008,0.905,0.494,0.57,0.6,0.101,0.92,0.6,0.36,0.222,0.0
0.808,0.875,0.81,0.767,0.231,0.555,0.444,0.38,0.7,0.0,0.007,0.925,0.725,0.734,0.3,0.096,0.317,0.5,0.82,0.778,0.0
0.539,0.908,0.648,0.579,0.154,0.673,0.278,0.855,0.533,0.0,0.009,0.88,0.862,0.498,0.6,0.502,0.513,0.1,0.72,0.111,0.0
0.453,0.727,0.552,0.326,0.615,0.612,0.144,0.84,0.507,0.0,0.78,0.815,0.287,0.601,0.2,0.196,0.507,0.3,0.24,0.889,0.0
0.531,0.893,0.667,0.237,0.154,0.104,1.0,0.93,0.173,0.0,0.55,0.065,0.096,0.621,0.8,0.299,0.168,0.3,0.38,0.556,0.0
0.877,0.757,0.895,0.348,1.0,0.198,0.744,0.63,0.393,0.0,0.75,0.055,0.235,0.502,1.0,0.417,0.129,0.2,0.04,0.667,0.0
0.721,0.321,0.076,0.897,0.385,0.556,0.689,0.515,0.18,0.0,0.003,0.815,0.307,0.652,0.3,0.967,0.656,0.2,0.5,0.111,0.0
0.172,0.543,0.114,0.443,0.154,0.528,0.8,0.665,0.233,0.0,0.89,0.825,0.152,0.464,0.7,0.183,0.905,0.9,0.26,0.889,0.0
0.408,0.114,0.695,0.413,0.385,0.536,0.578,0.915,0.867,0.0,0.003,0.645,0.393,0.392,0.7,0.593,0.642,0.7,0.88,0.889,0.0
0.634,0.003,0.333,0.354,0.308,0.449,0.678,0.72,0.527,0.0,0.008,0.99,0.422,0.621,0.2,0.165,0.439,0.8,0.42,0.0,0.0
0.653,0.357,0.6,0.302,0.077,0.611,0.844,0.725,0.593,0.0,0.002,0.885,0.81,0.474,0.4,0.153,0.048,0.1,0.44,0.333,0.0
0.814,0.043,0.105,0.296,0.231,0.212,0.611,0.9,0.973,0.0,0.88,0.44,0.867,0.433,0.6,0.453,0.328,0.4,0.76,0.556,0.0
0.198,0.83,0.467,0.555,0.923,0.864,0.844,1.0,0.667,0.0,0.79,0.845,0.535,0.491,0.9,0.757,0.882,0.1,0.84,0.667,0.0
0.899,0.102,0.124,0.816,0.154,0.87,0.322,0.835,0.313,0.0,0.54,0.705,0.26,0.57,0.6,0.134,0.1,0.4,0.8,0.333,0.0
0.382,0.236,0.133,0.275,0.615,0.947,0.489,0.935,0.76,0.0,0.001,0.165,0.187,0.587,0.1,0.942,0.443,0.8,0.34,0.556,0.0
0.285,0.666,0.248,0.83,0.538,0.789,0.267,0.615,0.233,0.0,0.89,0.6,0.923,0.437,1.0,0.767,0.453,0.7,0.46,0.333,0.0
0.285,0.3,0.038,0.253,0.231,0.234,0.3,0.415,0.32,0.0,0.003,0.62,0.086,0.758,0.3,0.697,0.259,0.6,0.62,0.333,0.0
0.764,0.721,0.286,0.743,0.0,0.343,0.278,0.395,0.953,0.0,0.51,0.47,0.3,0.464,0.5,0.988,0.596,0.5,0.8,0.333,0.0
0.622,0.103,0.229,0.512,0.462,0.116,0.644,0.35,0.493,0.0,0.95,0.62,0.813,0.444,0.0,0.796,0.031,0.8,0.24,0.778,0.0
0.606,0.65,0.371,0.411,0.538,0.272,0.789,0.515,0.767,0.0,0.5,0.495,0.879,0.744,0.6,0.9,0.339,0.2,0.68,0.222,0.0
0.408,0.303,0.752,0.409,0.692,0.099,0.089,0.335,0.027,0.0,0.009,0.535,0.352,0.587,0.2,0.546,0.592,0.1,0.78,0.778,0.0
0.608,0.669,0.676,0.204,0.692,0.751,0.333,0.62,0.527,0.0,0.7,0.005,0.905,0.41,0.9,0.414,0.727,0.0,0.88,0.889,0.0
0.39,0.797,0.362,0.178,0.538,0.226,0.467,0.78,0.713,0.0,0.0,0.005,0.129,0.608,0.8,0.753,0.36,0.3,0.92,0.0,0.0
0.679,0.336,0.571,0.581,0.615,0.396,0.544,0.54,0.76,0.0,0.91,0.005,0.318,0.652,0.6,0.324,0.013,0.3,0.42,0.667,0.0
0.214,0.566,0.743,0.405,0.154,0.312,0.689,0.395,0.1,0.0,0.62,0.005,0.362,0.461,0.1,0.122,0.578,0.2,0.82,0.778,0.0
